"Source:","C:\Users\Envy\Documents\GitHub\EnvOpenPico\EliteMicro2040\EliteMicro2040.kicad_sch"
"Date:","14/02/2023 12:28:50"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","40"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","LCSC","MPN","Manufacturer"
"1","4","C1, C3, C4, C10","1uf 0201","Device:C","Capacitor_SMD:C_0201_0603Metric","~","","","","",""
"2","1","C2","22pF 0402","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"3","10","C5, C6, C7, C8, C11, C13, C14, C15, C16, C18","100nf 0201","Device:C","Capacitor_SMD:C_0201_0603Metric","~","","","","",""
"4","1","C19","22pf 0402","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"5","1","D1","SOD-523 General","Device:D_Small","Diode_SMD:D_SOD-523","~","","","","",""
"6","1","FLASH1","W25Q16JVUXIQ","Memory_Flash:W25Q32JVZP","Package_SON:SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm","http://www.winbond.com/resource-files/w25q32jv%20revg%2003272018%20plus.pdf","","","","",""
"7","1","GPIO25_LED1","LED 0201","Device:LED","LED_SMD:LED_0201_0603Metric","~","","","","",""
"8","1","GPIO25_RESISTOR1","1K 0201","Device:R","Resistor_SMD:R_0201_0603Metric","~","","","","",""
"9","2","J1, J2","Button","Switch:SW_Push","Button_Switch_SMD:SW_SPST_CK_KXT3","~","","","","",""
"10","2","R1, R7","1K 0201","Device:R","Capacitor_SMD:C_0201_0603Metric","~","","","","",""
"11","1","R2","10K 0201","Device:R","Capacitor_SMD:C_0201_0603Metric","~","","","","",""
"12","2","R3, R4","27r 0201","Device:R","Resistor_SMD:R_0201_0603Metric","~","","","","",""
"13","2","R5, R6","5.1K 0201","Device:R_Small","Resistor_SMD:R_0201_0603Metric","~","","","","",""
"14","1","R101","5.6k 0201","Device:R_Small","Resistor_SMD:R_0201_0603Metric","~","","","","",""
"15","1","R102","10k 0201","Device:R_Small","Resistor_SMD:R_0201_0603Metric","~","","","","",""
"16","4","TP1, TP2, TP101, TP103","TestPoint","Connector:TestPoint","EnvExtras:CustomTestPoint","~","","","","",""
"17","1","U1","ZL6201A33S3","Regulator_Linear:XC6206PxxxMR","Package_TO_SOT_SMD:SOT-23","https://www.torexsemi.com/file/xc6206/XC6206.pdf","","","","",""
"18","1","U2","Elite-C","keebio:Elite-C","Keebio-Parts:Elite-C","","","","","",""
"19","1","U3","RP2040","MCU_RaspberryPi_RP2040:RP2040","RP2040_minimal:RP2040-QFN-56","","",""," C2040","",""
"20","1","USB1","TYPE-C-31-M-14","josh-connector:USB_C_U262-161N-4BVC11","josh-connectors:USB_C_TYPE-C-31-M-14","https://datasheet.lcsc.com/szlcsc/1811141824_XKB-Enterprise-U262-161N-4BVC11_C319148.pdf","","","C223907","U262-161N-4BVC11","XKB Enterprise"
"21","1","Y1","3225-4P 12MHz","Device:Crystal_GND24","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~","","","","",""
