Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uf 0402","C_0402_1005Metric",15.450000,-6.720000,90.000000,top
"C2","15pf 0402","C_0402_1005Metric",6.150000,-35.175000,180.000000,top
"C3","1uf 0402","C_0402_1005Metric",8.675000,-19.170000,270.000000,top
"C4","10uf 0402","C_0402_1005Metric",13.150000,-14.400000,270.000000,top
"C5","100nf 0402","C_0402_1005Metric",7.060000,-11.390000,0.000000,top
"C6","100nf 0402","C_0402_1005Metric",10.250000,-33.450000,270.000000,top
"C7","100nf 0402","C_0402_1005Metric",12.500000,-21.070000,90.000000,top
"C8","100nf 0402","C_0402_1005Metric",8.675000,-21.100000,90.000000,top
"C9","10uf 0402","C_0402_1005Metric",11.500000,-14.400000,270.000000,top
"C10","1uf 0402","C_0402_1005Metric",13.483000,-21.072000,90.000000,top
"C11","100nf 0402","C_0402_1005Metric",3.850000,-23.925000,180.000000,top
"C12","0.1uf 0402","C_0402_1005Metric",12.500000,-8.950000,180.000000,top
"C13","100nf 0402","C_0402_1005Metric",14.050000,-28.300000,0.000000,top
"C14","100nf 0402","C_0402_1005Metric",9.000000,-33.450000,270.000000,top
"C15","100nf 0402","C_0402_1005Metric",4.000000,-35.175000,0.000000,top
"C17","10uf 0402","C_0402_1005Metric",3.140000,-28.860000,180.000000,top
"D1","SCHOTTKY DIODE","D_0603_1608Metric",14.850000,-4.260000,90.000000,top
"D3","LED 0402 YELLOW","LED_0402_1005Metric",3.150000,-4.325000,270.000000,top
"FLASH1","W25Q16","SOIJ-8_5.3x5.3mm_P1.27mm",4.900000,-17.750000,90.000000,top
"J2","B3U-1000P","SW_SPST_B3U-1000P",4.080000,-9.565000,90.000000,top
"L1","Inductor 2.2uh","L_0805_2012Metric",15.425000,-11.650000,270.000000,top
"R1","1k Resistor","C_0402_1005Metric",3.370000,-12.505000,180.000000,top
"R3"," 27Ohms  0402 Resistor","C_0402_1005Metric",9.650000,-21.075000,270.000000,top
"R4"," 27Ohms 0402 Resistor","C_0402_1005Metric",10.600000,-21.075000,270.000000,top
"R5","5.1K","R_0402_1005Metric",6.730000,-8.440000,0.000000,top
"R6","5.1K","R_0402_1005Metric",6.730000,-9.480000,0.000000,top
"R7","100ohm","R_0402_1005Metric",14.475000,-8.950000,0.000000,top
"R8","470 ohm resistor","R_0402_1005Metric",14.450000,-26.700000,180.000000,top
"U1","TPS63002","Texas_DRC0010J_ThermalVias",12.550000,-11.450000,180.000000,top
"U3","RP2040","RP2040-QFN-56",8.940000,-27.300000,0.000000,top
"X1","XO 32 12Mhz 3225 seiko","Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm",4.775000,-37.425000,0.000000,top
"e1","TYPE-C-31-M-12","HRO-TYPE-C-31-M-12",8.850000,1.800000,180.000000,top
