Designator,Mid X,Mid Y,Rotation,Layer
C1,107.9,-67.3,180.0,top
C10,98.2,-84.5,135.0,top
C101,99.66,-66.27,180.0,top
C11,101.9,-91.75,270.0,top
C12,109.65,-86.0,0.0,top
C13,109.25,-82.65,0.0,top
C14,107.5,-90.8,0.0,top
C15,98.05,-87.05,180.0,top
C16,98.5,-81.7,135.0,top
C17,109.275,-72.525,45.0,top
C18,103.45,-80.8,90.0,top
C19,104.2,-95.1,90.0,top
C2,101.0,-93.6,0.0,top
C3,105.85,-80.925,0.0,top
C4,107.075,-72.175,180.0,top
C5,102.45,-76.825,0.0,top
C6,105.9,-79.9,0.0,top
C7,107.8,-80.85,270.0,top
C8,103.65,-91.75,270.0,top
C9,109.65,-85.0,0.0,top
CBP1,105.1052,-68.8848,90.0,top
D1,110.0,-60.5,90.0,top
F1,109.9,-64.6,90.0,top
FB1,107.95,-66.3,180.0,top
FLASH1,100.5,-78.6,0.0,top
GP23_LED1,101.695,-71.9025,90.0,top
GPIO24_RESISTOR1,101.695,-69.977499,90.0,top
GPIO25_LED1,98.3,-67.31,0.0,top
GPIO25_RESISTOR1,110.35,-87.05,180.0,top
J1,103.65,-60.875,180.0,top
J2,100.475,-74.775,0.0,top
J3,93.945,-82.774138,180.0,bottom
J4,113.34,-82.824138,0.0,bottom
J5,103.65,-106.9,90.0,top
L1,105.75,-78.125,0.0,top
Q1,99.475,-70.9125,270.0,top
R1,100.575,-76.825,0.0,top
R101,101.475,-67.785,270.0,top
R102,97.75,-62.0,180.0,top
R103,100.4,-67.785,90.0,top
R11,103.44,-93.67,0.0,top
R2,98.725,-76.85,0.0,top
R3,104.8,-74.8,90.0,top
R4,105.9,-74.8,90.0,top
R5,105.1,-66.802,90.0,top
R6,97.3,-60.0,0.0,top
R7,109.625,-67.5,90.0,top
R8,108.025,-78.975,270.0,top
RSW1,107.25,-95.5,270.0,top
U1,107.442,-69.7484,90.0,top
U3,103.65,-86.0,90.0,top
Y1,101.5,-95.86,0.0,top
